date,event,z_score,today_dispersion,level,dd_from_peak,rolling_peak_equity,current_equity,ticker,reason,exit_price,action,new_stop
2025-04-07,,,,5.0,,,,ENTA,vix_crisis_47.0,,tighten_stop,4.966500000000001
2025-04-07,,,,5.0,,,,TROW,vix_crisis_47.0,,tighten_stop,86.73
2025-04-07,,,,5.0,,,,CRK,vix_crisis_47.0,,tighten_stop,17.976000000000003
2025-04-07,,,,5.0,,,,NOG,vix_crisis_47.0,,tighten_stop,24.57
2025-04-08,,,,5.0,,,,DOW,vix_crisis_52.3,,tighten_stop,28.896
2025-04-08,,,,5.0,,,,ENTA,vix_crisis_52.3,,tighten_stop,4.872
2025-04-08,,,,5.0,,,,TROW,vix_crisis_52.3,,tighten_stop,85.743
2025-04-08,,,,5.0,,,,NOG,vix_crisis_52.3,,tighten_stop,23.667
2025-04-08,,,,5.0,,,,LBRT,vix_crisis_52.3,,tighten_stop,11.42484
2025-04-08,,,,5.0,,,,CSX,vix_crisis_52.3,,tighten_stop,28.79877
2025-04-08,,,,5.0,,,,WY,vix_crisis_52.3,,tighten_stop,27.710235
2025-04-08,,,,5.0,,,,CL,vix_crisis_52.3,,tighten_stop,94.62117
2025-04-10,,,,5.0,,,,CL,vix_crisis_40.7,,tighten_stop,93.03
2025-04-10,,,,5.0,,,,AIG,vix_crisis_40.7,,tighten_stop,77.36363
2025-06-06,,,,1.0,,,,LULU,overnight_gap_down_18.0pct,271.18,,
2025-06-06,halt_triggered,,,6.0,-0.2118,110936.62,87443.78,,,,,
2025-06-25,,,,1.0,,,,ALLT,overnight_gap_down_15.4pct,8.13,,
2025-07-01,halt_resumed,,,6.0,-0.1818,110936.62,90766.85,,,,,
2025-08-01,halt_triggered,,,6.0,-0.2117,110936.62,87455.03,,,,,
2025-08-20,halt_resumed,,,6.0,-0.1769,110936.62,91310.17,,,,,
2025-09-05,dispersion_cb_triggered_dec128,4.2235,0.046889,,,,,,,,,
2025-09-29,dispersion_cb_triggered_dec128,10.0,0.13299,,,,,,,,,
2025-10-02,halt_triggered,,,6.0,-0.204,110936.62,88307.13,,,,,
2025-10-21,halt_resumed,,,6.0,-0.0855,110936.62,101454.24,,,,,
2026-01-23,,,,1.0,,,,INTC,overnight_gap_down_13.7pct,46.86,,
2026-03-03,,,,1.0,,,,ALM,overnight_gap_down_13.4pct,17.94,,
2026-03-06,halt_triggered,,,6.0,-0.2116,110936.62,87467.21,,,,,
2026-03-09,halt_resumed,,,6.0,-0.1827,110936.62,90673.84,,,,,
