# T3 Tier 3 Universe_Momentum Top-100_Jun 2022 to May 2026.csv — DEC-496 Pass 53 SCREENER-FIRST output
# Built: 2026-05-05 via Polygon /v2/aggs/grouped/locale/us/market/stocks/{date}
# Methodology: J-T 12-1 (lookback 252d, skip 21d, risk-adj OFF, tie-breakers vol-asc → ADV-desc)
# Window: 2020-01-01 to 2026-05-05 (77 monthly snapshots)
# Liquidity floor: $5M min daily dollar volume on D-21
# T1 exclusion: T1a + T1c PIT membership at each snapshot
# SCHEMA: Symbol, Company, Sector, added_date (first month rank ≤100), removed_date (first month rank >100), MomentumScore, MarketCapB (blank — not from grouped endpoint), LastPrice
# PIT FILTER: (added_date IS NULL OR added_date <= as_of) AND (removed_date IS NULL OR removed_date > as_of)
Symbol,Company,Sector,added_date,removed_date,MomentumScore,MarketCapB,LastPrice
BHVN,,Health Care,2024-08-01,2024-10-01,1.085039,,39.72
BIOA,,Health Care,2026-03-02,,2.817967,,16.15
BKD,,Health Care,2024-01-01,2024-03-01,0.896848,,6.62
BKD,,Health Care,2024-06-03,2024-07-01,0.896848,,6.62
BKD,,Health Care,2024-08-01,2024-09-02,0.896848,,6.62
BKSY,,Information Technology,2025-08-01,2025-09-01,1.796919,,19.97
BKSY,,Information Technology,2025-10-01,2025-12-01,1.796919,,19.97
BKTI,,Information Technology,2025-08-01,2025-09-01,2.085489,,82.29
BKTI,,Information Technology,2025-11-03,2025-12-01,2.085489,,82.29
BLBD,,Consumer Discretionary,2023-07-03,2023-09-01,1.362827,,42.46
BLBD,,Consumer Discretionary,2023-11-01,2023-12-01,1.362827,,42.46
BLBD,,Consumer Discretionary,2024-01-01,2024-03-01,1.362827,,42.46
BLBD,,Consumer Discretionary,2024-07-01,2025-01-01,1.362827,,42.46
BLD,,Consumer Discretionary,2024-01-01,2024-03-01,1.001934,,414.14
BLD,,Consumer Discretionary,2024-06-03,2024-07-01,1.001934,,414.14
BLDR,,Consumer Discretionary,2023-07-03,2024-01-01,0.755783,,106.26
