# T3 momentum_watchlist.csv — DEC-496 Pass 53 SCREENER-FIRST output
# Built: 2026-05-05 via Polygon /v2/aggs/grouped/locale/us/market/stocks/{date}
# Methodology: J-T 12-1 (lookback 252d, skip 21d, risk-adj OFF, tie-breakers vol-asc → ADV-desc)
# Window: 2020-01-01 to 2026-05-05 (77 monthly snapshots)
# Liquidity floor: $5M min daily dollar volume on D-21
# T1 exclusion: T1a + T1c PIT membership at each snapshot
# SCHEMA: Symbol, Company, Sector, added_date (first month rank ≤100), removed_date (first month rank >100), MomentumScore, MarketCapB (blank — not from grouped endpoint), LastPrice
# PIT FILTER: (added_date IS NULL OR added_date <= as_of) AND (removed_date IS NULL OR removed_date > as_of)
Symbol,Company,Sector,added_date,removed_date,MomentumScore,MarketCapB,LastPrice
BVH,,,2024-01-01,2024-03-01,1.4149,,75.2
BVN,,,2024-03-01,2024-04-01,1.206897,,16.64
BVN,,,2024-06-03,2024-09-02,1.206897,,16.64
BVS,,,2024-10-01,2024-12-02,2.537994,,11.64
BW,,,2026-01-01,2026-03-02,3.229008,,5.54
BWMX,,,2023-10-02,2023-11-01,1.183588,,15.7
BXC,,,2022-07-01,2022-09-01,0.747914,,69.13
BYRN,,,2024-11-01,2024-12-02,2.237949,,31.57
BYRN,,,2025-01-01,2025-04-01,2.237949,,31.57
BYRN,,,2025-07-01,2025-09-01,2.237949,,31.57
BZH,,,2023-09-01,2024-04-01,1.174983,,31.82
CABA,,,2023-03-01,2023-05-01,2.122016,,23.54
CABA,,,2023-12-01,2024-02-01,2.122016,,23.54
CABA,,,2024-03-01,2024-05-01,2.122016,,23.54
CADL,,,2024-07-01,2024-08-01,4.444805,,8.38
CADL,,,2025-04-01,2025-05-01,4.444805,,8.38
CAL,,,2024-06-03,2024-07-01,1.107263,,37.72
CALM,,,2022-11-01,2022-12-01,0.674875,,60.53
CAMT,,,2023-10-02,2024-09-02,1.611546,,123.5
CAPR,,,2024-11-01,2024-12-02,1.551487,,11.15
CAPR,,,2025-01-01,2025-09-01,1.551487,,11.15
CAR,,,2022-06-01,2022-10-03,1.389147,,206.04
CAR,,,2025-09-01,2025-10-01,1.389147,,206.04
CATX,,,2024-06-03,2024-08-01,3.692671,,11.91
CATX,,,2024-09-02,2025-01-01,3.692671,,11.91
CAVA,,,2024-10-01,2025-03-03,1.338436,,111.52
CBAY,,,2023-02-01,2023-07-03,2.659864,,32.28
CBAY,,,2023-08-01,2024-05-01,2.659864,,32.28
CCB,,,2025-04-01,2025-07-01,1.006845,,87.96
CCCC,,,2024-04-01,2024-06-03,2.552486,,6.43
CCCC,,,2024-09-02,2024-11-01,2.552486,,6.43
CCRD,,,2025-08-01,2025-09-01,1.2544,,28.18
CCXI,,,2022-06-01,2022-09-01,0.582593,,51.64
CCXI,,,2022-10-03,2022-12-01,0.582593,,51.64
CD,,,2023-02-01,2023-03-01,0.792363,,7.51
CDE,,,2024-09-02,2024-12-02,2.021164,,17.13
CDE,,,2025-03-03,2025-04-01,2.021164,,17.13
CDE,,,2025-11-03,,2.021164,,17.13
CDIO,,,2024-01-01,2024-02-01,1.237624,,67.8
CDLX,,,2023-12-01,2024-01-01,1.333333,,12.95
CDLX,,,2024-04-01,2024-05-01,1.333333,,12.95
CDLX,,,2024-06-03,2024-07-01,1.333333,,12.95
CDNA,,,2024-09-02,2024-12-02,1.427249,,18.35
CDNA,,,2025-03-03,2025-04-01,1.427249,,18.35
