strategy_name,direction,category,n_fires,class,fired_regimes,regime_affinity,disabled_flag,exploratory_flag,producer_signals,root_cause_hypothesis,notes
pivot_s1_bounce,dual,unknown,40,MARGINAL,"bear,bull,neutral",,False,False,"bearish_engulfing,bullish_pin_bar,hammer,near_r1,near_s1,obv_bearish,obv_bullish,shooting_star",REVIEW_NEEDED,
squeeze_breakout,dual,unknown,39,MARGINAL,"bear,bull",,False,False,squeeze_fire_up,REVIEW_NEEDED,
golden_cross_9_21,dual,unknown,38,MARGINAL,"bear,bull",,False,False,"below_sma_50,ema_9_21_death_cross,ema_9_21_golden_cross,price_above_sma_50",REVIEW_NEEDED,
avwap_252_breakout,dual,unknown,32,MARGINAL,"bear,bull","bear,neutral",False,False,"avwap_252low_loss_recent_3d,avwap_252low_reclaim_recent_3d,rsi_14,vol_spike_15x",REVIEW_NEEDED,
xs_momentum_top_decile,dual,unknown,32,MARGINAL,"bear,bull,neutral",bull,False,True,"price_above_ema_200,xs_avoid_high_ivol,xs_avoid_high_max,xs_momentum_top_decile",EXPLORATORY_INTENTIONAL,
donchian_10_breakout,dual,unknown,31,MARGINAL,"bear,bull,neutral",,False,False,"close_above_open,close_below_open,close_in_bottom_40pct_of_range,close_in_top_40pct_of_range,dc10_breakout_dn_1pct,dc10_breakout_up_1pct,dc10_strong_breakout_dn,dc10_strong_breakout_up,macd_12_26_9_bearish,macd_12_26_9_bullish,vol_above_avg",REVIEW_NEEDED,
prev_day_low_bounce,dual,unknown,31,MARGINAL,"bear,bull","bear,neutral",False,False,"cmf_negative,cmf_positive,hammer,near_prev_high,near_prev_low,shooting_star",REVIEW_NEEDED,
camarilla_r4_breakout,dual,unknown,30,MARGINAL,"bear,bull,neutral",,False,False,"above_cam_r4,below_cam_s4,vol_spike_2x",REVIEW_NEEDED,
dc20_break_retest,dual,unknown,30,MARGINAL,"bear,bull,neutral",,False,False,"adx_trending,close_in_bottom_40pct_of_range,close_in_top_40pct_of_range,resistance_break_retest,support_break_retest,vol_below_avg",REVIEW_NEEDED,
pead_short,short,unknown,30,MARGINAL,"bear,bull","bear,bull,crisis,neutral",False,False,"earnings_announcement_return,earnings_eps_yoy_growth,pead_negative_surprise,within_pead_window",REVIEW_NEEDED,
rsi_oversold,dual,unknown,30,MARGINAL,"bear,bull",,False,False,"below_ema_200,below_sma_50,price_above_ema_200,price_above_sma_50,rsi_14,rsi_2",REVIEW_NEEDED,
